date,team1_name,team2_name,team1_point,team2_point
20190312,SK,KIA,1,4
20190312,두산,한화,2,3
20190312,NC,롯데,4,6
20190312,LG,키움,1,4
20190312,KT,삼성,12,13
20190313,SK,KIA,3,3
20190313,두산,한화,2,9
20190313,NC,롯데,5,0
20190313,LG,키움,8,4
20190313,KT,삼성,1,6
20190314,SK,한화,3,5
20190314,두산,LG,13,2
20190314,NC,삼성,6,4
20190314,롯데,키움,3,8
20190314,KT,KIA,5,9
20190315,SK,한화,8,2
20190315,NC,삼성,3,1
20190315,롯데,키움,3,4
20190316,SK,KT,6,2
20190316,두산,키움,3,2
20190316,NC,KIA,2,2
20190316,롯데,한화,1,6
20190316,LG,삼성,7,4
20190317,SK,KT,3,1
20190317,두산,키움,3,1
20190317,NC,KIA,5,6
20190317,롯데,한화,8,6
20190317,LG,삼성,7,5
20190319,두산,SK,2,3
20190319,KIA,키움,3,4
20190319,삼성,롯데,0,6
20190319,LG,KT,3,3
20190319,한화,NC,5,2
20190320,삼성,롯데,3,4
20190320,두산,SK,0,1
20190320,KIA,키움,0,2
20190320,한화,NC,2,3
20190323,키움,롯데,7,4
20190323,삼성,NC,0,7
20190323,LG,KIA,2,0
20190323,KT,SK,4,7
20190323,한화,두산,4,5
20190324,키움,롯데,2,6
20190324,삼성,NC,4,3
20190324,LG,KIA,9,3
20190324,KT,SK,3,6
20190324,한화,두산,11,1
20190326,키움,두산,2,7
20190326,삼성,롯데,2,7
20190326,LG,SK,6,3
20190326,KT,NC,8,9
20190326,한화,KIA,13,7
20190327,키움,두산,2,3
20190327,삼성,롯데,23,4
20190327,LG,SK,1,2
20190327,KT,NC,1,4
20190327,한화,KIA,4,9
20190328,키움,두산,5,4
20190328,삼성,롯데,12,7
20190328,LG,SK,1,3
20190328,KT,NC,2,6
20190328,한화,KIA,4,6
20190329,SK,키움,5,2
20190329,두산,삼성,3,2
20190329,NC,한화,0,9
20190329,롯데,LG,1,2
20190329,KIA,KT,3,6
20190330,SK,키움,1,3
20190330,두산,삼성,4,2
20190330,NC,한화,5,13
20190330,롯데,LG,7,1
20190330,KIA,KT,2,6
20190331,SK,키움,8,7
20190331,두산,삼성,9,4
20190331,NC,한화,6,3
20190331,롯데,LG,5,6
20190331,KIA,KT,4,2
20190402,키움,NC,8,6
20190402,롯데,SK,5,0
20190402,LG,한화,2,6
20190402,KT,두산,0,9
20190402,KIA,삼성,4,1
20190403,키움,NC,1,9
20190403,롯데,SK,3,1
20190403,LG,한화,7,0
20190403,KT,두산,1,5
20190403,KIA,삼성,3,6
20190404,키움,NC,6,5
20190404,롯데,SK,6,7
20190404,LG,한화,1,2
20190404,KT,두산,4,5
20190404,KIA,삼성,7,12
20190405,키움,KIA,4,6
20190405,삼성,SK,0,3
20190405,NC,두산,7,3
20190405,LG,KT,13,0
20190405,한화,롯데,2,5
20190406,키움,KIA,14,4
20190406,삼성,SK,1,2
20190406,NC,두산,6,5
20190406,LG,KT,1,2
20190406,한화,롯데,7,9
20190407,삼성,SK,2,3
20190407,NC,두산,5,3
20190407,LG,KT,3,4
20190407,한화,롯데,16,1
20190409,KT,키움,3,7
20190410,삼성,LG,6,5
20190410,SK,한화,8,3
20190410,두산,롯데,3,1
20190410,NC,KIA,1,2
20190410,KT,키움,2,4
20190411,삼성,LG,2,5
20190411,SK,한화,1,0
20190411,두산,롯데,5,1
20190411,NC,KIA,4,2
20190411,KT,키움,8,1
20190412,두산,LG,0,3
20190412,KT,삼성,0,5
20190412,KIA,SK,4,4
20190412,한화,키움,3,5
20190412,롯데,NC,1,2
20190413,두산,LG,2,5
20190413,롯데,NC,5,7
20190413,KT,삼성,5,3
20190413,KIA,SK,6,4
20190413,한화,키움,3,5
20190414,두산,LG,8,0
20190414,롯데,NC,1,8
20190414,KT,삼성,12,14
20190414,KIA,SK,4,2
20190414,한화,키움,3,2
20190416,키움,삼성,4,0
20190416,SK,두산,3,8
20190416,LG,NC,7,2
20190416,KIA,롯데,9,10
20190416,한화,KT,2,4
20190417,키움,삼성,5,3
20190417,SK,두산,3,12
20190417,LG,NC,4,2
20190417,KIA,롯데,6,8
20190417,한화,KT,8,5
20190418,키움,삼성,4,5
20190418,SK,두산,4,3
20190418,LG,NC,6,1
20190418,KIA,롯데,9,10
20190418,한화,KT,5,6
20190419,키움,LG,13,3
20190419,삼성,한화,3,4
20190419,두산,KIA,8,6
20190419,NC,SK,14,11
20190419,KT,롯데,6,5
20190420,키움,LG,7,3
20190420,삼성,한화,5,12
20190420,두산,KIA,10,1
20190420,NC,SK,4,10
20190420,KT,롯데,4,5
20190421,키움,LG,3,5
20190421,삼성,한화,16,0
20190421,두산,KIA,9,2
20190421,NC,SK,1,4
20190421,KT,롯데,6,3
20190423,두산,키움,9,3
20190423,NC,KT,4,3
20190423,KIA,LG,2,9
20190424,SK,삼성,9,8
20190424,두산,키움,3,8
20190424,NC,KT,10,2
20190424,롯데,한화,4,5
20190424,KIA,LG,3,10
20190425,SK,삼성,4,3
20190425,두산,키움,6,9
20190426,SK,KT,2,0
20190426,롯데,두산,8,11
20190426,KIA,키움,4,8
20190427,SK,KT,2,1
20190427,롯데,두산,0,7
20190427,LG,삼성,8,0
20190427,KIA,키움,6,4
20190427,한화,NC,1,15
20190428,SK,KT,3,0
20190428,롯데,두산,2,9
20190428,LG,삼성,2,1
20190428,KIA,키움,5,13
20190428,한화,NC,4,10
20190430,키움,SK,15,5
20190430,삼성,KIA,0,8
20190430,두산,한화,1,2
20190430,NC,롯데,1,6
20190430,KT,LG,9,10
20190501,키움,SK,0,2
20190501,삼성,KIA,10,2
20190501,두산,한화,1,4
20190501,NC,롯데,9,5
20190501,KT,LG,2,3
20190502,키움,SK,10,8
20190502,삼성,KIA,1,8
20190502,두산,한화,5,4
20190502,NC,롯데,7,6
20190502,KT,LG,4,5
20190503,삼성,키움,3,8
20190503,SK,롯데,11,7
20190503,LG,두산,2,7
20190503,KT,한화,5,4
20190503,KIA,NC,8,4
20190504,삼성,키움,3,1
20190504,SK,롯데,10,4
20190504,LG,두산,2,3
20190504,KT,한화,9,10
20190504,KIA,NC,1,4
20190505,삼성,키움,2,12
20190505,SK,롯데,4,3
20190505,LG,두산,2,11
20190505,KT,한화,4,6
20190505,KIA,NC,3,10
20190507,NC,삼성,3,6
20190507,롯데,KT,2,7
20190507,LG,키움,12,10
20190507,KIA,두산,3,4
20190507,한화,SK,2,11
20190508,NC,삼성,0,2
20190508,롯데,KT,4,5
20190508,LG,키움,0,6
20190508,KIA,두산,0,1
20190508,한화,SK,2,17
20190509,NC,삼성,4,6
20190509,롯데,KT,13,6
20190509,LG,키움,1,2
20190509,KIA,두산,5,3
20190509,한화,SK,6,1
20190510,키움,KT,6,7
20190510,SK,KIA,4,1
20190510,롯데,삼성,12,5
20190510,한화,LG,5,2
20190510,두산,NC,11,12
20190511,키움,KT,6,2
20190511,SK,KIA,10,3
20190511,두산,NC,12,0
20190511,롯데,삼성,2,9
20190511,한화,LG,4,6
20190512,키움,KT,3,9
20190512,SK,KIA,4,3
20190512,두산,NC,3,2
20190512,롯데,삼성,10,9
20190512,한화,LG,0,2
20190514,키움,한화,3,7
20190514,삼성,두산,4,3
20190514,SK,NC,2,8
20190514,LG,롯데,0,4
20190514,KT,KIA,6,1
20190515,키움,한화,4,5
20190515,삼성,두산,1,3
20190515,SK,NC,7,3
20190515,LG,롯데,4,8
20190515,KT,KIA,7,4
20190516,키움,한화,6,15
20190516,삼성,두산,1,4
20190516,SK,NC,2,5
20190516,LG,롯데,3,2
20190516,KT,KIA,6,3
20190517,삼성,KT,14,3
20190517,두산,SK,3,1
20190517,NC,LG,13,2
20190517,롯데,키움,0,7
20190517,KIA,한화,5,2
20190518,삼성,KT,0,2
20190518,두산,SK,10,5
20190518,NC,LG,9,3
20190518,롯데,키움,1,13
20190518,KIA,한화,2,5
20190519,롯데,키움,3,9
20190519,KIA,한화,5,0
20190521,SK,LG,4,2
20190521,두산,KT,7,12
20190521,NC,키움,3,1
20190521,롯데,KIA,6,10
20190521,한화,삼성,3,9
20190522,SK,LG,2,0
20190522,두산,KT,1,3
20190522,NC,키움,2,4
20190522,롯데,KIA,5,6
20190522,한화,삼성,5,6
20190523,SK,LG,1,2
20190523,두산,KT,2,3
20190523,NC,키움,4,2
20190523,롯데,KIA,1,3
20190523,한화,삼성,1,2
20190524,키움,삼성,10,5
20190524,LG,롯데,5,8
20190524,KT,KIA,5,7
20190524,한화,두산,4,3
20190524,SK,NC,4,2
20190525,키움,삼성,9,10
20190525,SK,NC,7,10
20190525,LG,롯데,6,5
20190525,KT,KIA,3,10
20190525,한화,두산,4,7
20190526,키움,삼성,3,4
20190526,SK,NC,2,1
20190526,LG,롯데,11,2
20190526,KT,KIA,5,17
20190526,한화,두산,1,2
20190528,삼성,두산,1,4
20190528,롯데,NC,9,4
20190528,LG,키움,0,5
20190528,KT,SK,0,1
20190528,KIA,한화,0,2
20190529,삼성,두산,2,3
20190529,롯데,NC,6,8
20190529,LG,키움,4,2
20190529,KT,SK,8,6
20190529,KIA,한화,3,1
20190530,삼성,두산,2,1
20190530,롯데,NC,10,2
20190530,LG,키움,6,3
20190530,KT,SK,2,3
20190530,KIA,한화,3,2
20190531,키움,KIA,2,3
20190531,삼성,롯데,1,6
20190531,두산,KT,2,3
20190531,NC,LG,2,3
20190531,한화,SK,1,2
20190601,키움,KIA,4,0
20190601,삼성,롯데,2,5
20190601,두산,KT,3,13
20190601,NC,LG,1,5
20190601,한화,SK,6,0
20190602,키움,KIA,6,5
20190602,삼성,롯데,8,3
20190602,두산,KT,7,4
20190602,NC,LG,4,1
20190602,한화,SK,2,5
20190604,SK,키움,2,1
20190604,두산,KIA,7,2
20190604,NC,삼성,1,3
20190604,KT,LG,4,8
20190604,한화,롯데,2,3
20190605,SK,키움,6,2
20190605,두산,KIA,5,4
20190605,NC,삼성,3,4
20190605,KT,LG,2,9
20190605,한화,롯데,6,3
20190606,두산,KIA,3,12
20190606,KT,LG,7,8
20190606,한화,롯데,4,3
20190606,SK,키움,2,6
20190606,NC,삼성,0,6
20190607,키움,두산,1,7
20190607,삼성,SK,2,4
20190607,롯데,KT,1,2
20190607,LG,한화,2,3
20190607,KIA,NC,1,2
20190608,키움,두산,5,4
20190608,삼성,SK,0,8
20190608,롯데,KT,2,6
20190608,LG,한화,3,2
20190608,KIA,NC,4,5
20190609,키움,두산,4,0
20190609,삼성,SK,9,0
20190609,롯데,KT,0,2
20190609,LG,한화,3,1
20190609,KIA,NC,3,4
20190611,키움,NC,9,8
20190611,삼성,KIA,1,7
20190611,SK,KT,13,1
20190611,두산,한화,1,4
20190611,롯데,LG,1,1
20190612,키움,NC,5,4
20190612,삼성,KIA,3,7
20190612,SK,KT,6,3
20190612,두산,한화,9,6
20190612,롯데,LG,3,4
20190613,키움,NC,1,3
20190613,삼성,KIA,2,3
20190613,SK,KT,1,5
20190613,두산,한화,7,2
20190613,롯데,LG,3,4
20190614,NC,SK,3,7
20190614,LG,두산,4,7
20190614,KT,삼성,4,7
20190614,한화,키움,7,8
20190615,NC,SK,0,4
20190615,LG,두산,4,3
20190615,KT,삼성,10,7
20190615,KIA,롯데,0,7
20190615,한화,키움,3,8
20190616,NC,SK,2,9
20190616,LG,두산,3,5
20190616,KT,삼성,3,1
20190616,KIA,롯데,5,10
20190616,한화,키움,6,9
20190618,SK,KIA,2,4
20190618,NC,두산,7,10
20190618,롯데,한화,11,3
20190618,LG,삼성,5,12
20190618,KT,키움,2,3
20190619,SK,KIA,7,1
20190619,NC,두산,0,1
20190619,롯데,한화,7,5
20190619,LG,삼성,9,6
20190619,KT,키움,2,8
20190620,SK,KIA,5,8
20190620,NC,두산,2,14
20190620,롯데,한화,7,10
20190620,LG,삼성,11,3
20190620,KT,키움,1,3
20190621,삼성,한화,5,2
20190621,두산,SK,1,14
20190621,NC,KT,0,5
20190621,KIA,LG,8,9
20190621,키움,롯데,7,4
20190622,키움,롯데,1,4
20190622,삼성,한화,0,5
20190622,두산,SK,0,3
20190622,NC,KT,7,6
20190622,KIA,LG,3,2
20190623,키움,롯데,1,2
20190623,삼성,한화,10,5
20190623,두산,SK,2,3
20190623,NC,KT,2,4
20190623,KIA,LG,7,0
20190625,SK,LG,8,3
20190625,두산,삼성,2,11
20190625,KT,롯데,8,8
20190625,KIA,키움,3,7
20190625,한화,NC,14,3
20190626,SK,LG,7,4
20190626,KIA,키움,13,6
20190627,SK,LG,4,6
20190627,두산,삼성,9,1
20190627,KT,롯데,10,2
20190627,KIA,키움,2,8
20190627,한화,NC,5,10
20190628,키움,한화,6,5
20190628,SK,삼성,3,9
20190628,롯데,두산,2,3
20190628,KIA,KT,1,9
20190628,LG,NC,6,2
20190629,롯데,두산,4,0
20190629,KIA,KT,3,5
20190630,키움,한화,6,4
20190630,SK,삼성,14,7
20190630,롯데,두산,4,0
20190630,LG,NC,1,9
20190630,KIA,KT,3,4
20190702,삼성,KT,3,5
20190702,두산,키움,3,6
20190702,NC,KIA,3,5
20190702,롯데,SK,1,10
20190702,한화,LG,2,9
20190703,삼성,KT,0,3
20190703,두산,키움,3,1
20190703,NC,KIA,8,4
20190703,롯데,SK,5,8
20190703,한화,LG,1,6
20190704,삼성,KT,3,5
20190704,두산,키움,4,1
20190704,NC,KIA,9,3
20190704,롯데,SK,7,9
20190704,한화,LG,3,4
20190705,SK,두산,8,6
20190705,롯데,키움,1,14
20190705,LG,KIA,1,6
20190705,KT,한화,10,3
20190705,삼성,NC,3,7
20190706,삼성,NC,2,2
20190706,SK,두산,4,2
20190706,롯데,키움,4,6
20190706,LG,KIA,0,7
20190706,KT,한화,8,9
20190707,삼성,NC,4,2
20190707,SK,두산,4,5
20190707,롯데,키움,2,5
20190707,LG,KIA,10,9
20190707,KT,한화,4,3
20190709,키움,KT,12,3
20190709,SK,한화,0,1
20190709,두산,LG,11,4
20190709,NC,롯데,1,4
20190709,KIA,삼성,2,3
20190711,키움,KT,4,2
20190711,SK,한화,5,1
20190711,두산,LG,8,4
20190711,NC,롯데,4,0
20190711,KIA,삼성,2,4
20190712,키움,SK,6,2
20190712,삼성,LG,6,3
20190712,한화,KIA,0,5
20190712,두산,롯데,1,2
20190712,KT,NC,8,9
20190713,키움,SK,2,4
20190713,삼성,LG,3,5
20190713,두산,롯데,4,3
20190713,KT,NC,13,3
20190713,한화,KIA,10,5
20190714,키움,SK,3,4
20190714,삼성,LG,0,2
20190714,두산,롯데,8,2
20190714,KT,NC,4,1
20190714,한화,KIA,7,10
20190716,삼성,키움,0,6
20190716,NC,한화,3,2
20190716,LG,SK,4,10
20190716,KT,두산,7,2
20190717,삼성,키움,6,10
20190717,NC,한화,14,1
20190717,롯데,KIA,1,3
20190717,LG,SK,2,8
20190717,KT,두산,6,4
20190718,삼성,키움,1,5
20190718,NC,한화,7,4
20190718,롯데,KIA,6,3
20190718,LG,SK,12,5
20190718,KT,두산,7,4
20190721,드림,나눔,9,7
20190726,NC,키움,4,5
20190726,한화,삼성,8,9
20190726,SK,롯데,8,6
20190727,SK,롯데,4,0
20190727,NC,키움,1,4
20190727,LG,KT,5,2
20190727,KIA,두산,1,12
20190727,한화,삼성,6,7
20190728,SK,롯데,3,0
20190728,NC,키움,11,0
20190728,LG,KT,10,1
20190728,한화,삼성,6,13
20190730,키움,LG,4,2
20190730,두산,NC,9,1
20190730,롯데,삼성,2,5
20190730,KIA,SK,2,0
20190730,한화,KT,2,3
20190731,키움,LG,8,0
20190731,두산,NC,4,8
20190731,롯데,삼성,8,4
20190731,KIA,SK,6,2
20190731,한화,KT,5,2
20190801,키움,LG,5,11
20190801,두산,NC,3,2
20190801,롯데,삼성,9,4
20190801,KIA,SK,1,10
20190801,한화,KT,3,1
20190803,삼성,LG,10,13
20190803,SK,한화,3,0
20190803,두산,롯데,1,2
20190803,NC,KIA,1,5
20190803,KT,키움,7,1
20190804,삼성,LG,2,1
20190804,SK,한화,2,8
20190804,NC,KIA,0,1
20190804,KT,키움,5,3
20190804,두산,롯데,4,9
20190806,LG,KIA,17,4
20190806,KT,SK,3,0
20190806,한화,두산,3,8
20190807,키움,롯데,16,4
20190807,삼성,NC,1,2
20190807,LG,KIA,5,10
20190807,KT,SK,2,5
20190807,한화,두산,7,5
20190808,SK,키움,6,1
20190808,롯데,삼성,8,0
20190808,LG,NC,2,13
20190808,KT,두산,2,7
20190808,한화,KIA,2,5
20190809,SK,키움,4,5
20190809,롯데,삼성,6,3
20190809,KT,두산,1,3
20190809,한화,KIA,4,10
20190809,LG,NC,5,2
20190810,SK,LG,2,0
20190810,두산,키움,2,10
20190810,롯데,NC,4,7
20190810,KIA,삼성,7,2
20190810,한화,KT,4,5
20190811,SK,LG,3,4
20190811,두산,키움,12,7
20190811,롯데,NC,1,9
20190811,KIA,삼성,4,5
20190811,한화,KT,6,4
20190813,키움,LG,7,8
20190813,삼성,SK,1,4
20190813,두산,KIA,5,2
20190813,NC,한화,10,2
20190813,KT,롯데,5,6
20190814,키움,LG,14,0
20190814,두산,KIA,1,4
20190814,NC,한화,3,9
20190814,KT,롯데,6,0
20190815,SK,KIA,7,6
20190815,NC,키움,3,4
20190815,한화,롯데,5,11
20190816,삼성,KT,1,9
20190816,SK,KIA,0,1
20190816,NC,키움,4,6
20190816,LG,두산,4,7
20190816,한화,롯데,2,1
20190817,SK,NC,0,9
20190817,롯데,두산,2,9
20190817,LG,삼성,2,7
20190817,KT,KIA,4,3
20190817,한화,키움,8,4
20190818,SK,NC,4,7
20190818,롯데,두산,3,11
20190818,LG,삼성,8,1
20190818,KT,KIA,2,1
20190818,한화,키움,5,4
20190820,키움,KT,0,6
20190820,삼성,한화,5,0
20190820,두산,NC,2,3
20190820,롯데,SK,0,5
20190820,KIA,LG,3,15
20190821,키움,KT,8,1
20190821,롯데,SK,4,5
20190821,KIA,LG,4,6
20190822,두산,삼성,13,1
20190822,NC,LG,5,2
20190822,롯데,KT,2,4
20190822,KIA,키움,5,5
20190822,한화,SK,6,8
20190823,두산,삼성,8,4
20190823,NC,LG,2,8
20190823,롯데,KT,3,3
20190823,KIA,키움,0,6
20190823,한화,SK,2,6
20190824,키움,삼성,1,2
20190824,두산,한화,13,3
20190824,NC,롯데,8,3
20190824,KT,LG,8,12
20190824,KIA,SK,3,4
20190825,키움,삼성,21,8
20190825,두산,한화,3,2
20190825,KT,LG,7,3
20190825,KIA,SK,4,2
20190825,NC,롯데,4,5
20190827,키움,한화,15,0
20190827,삼성,KIA,10,1
20190827,SK,두산,2,4
20190827,LG,롯데,2,1
20190827,KT,NC,3,4
20190828,키움,한화,1,2
20190828,삼성,KIA,1,5
20190828,SK,두산,2,4
20190828,LG,롯데,3,4
20190828,KT,NC,8,2
20190829,SK,삼성,4,5
20190829,두산,KT,8,11
20190829,롯데,키움,0,4
20190829,KIA,NC,3,4
20190830,SK,삼성,2,0
20190830,두산,KT,3,1
20190830,롯데,키움,2,5
20190830,한화,LG,1,0
20190830,KIA,NC,8,2
20190831,키움,NC,9,3
20190831,삼성,두산,3,5
20190831,롯데,KIA,2,4
20190831,LG,SK,6,4
20190831,KT,한화,6,1
20190901,키움,NC,2,4
20190901,삼성,두산,1,4
20190901,롯데,KIA,2,4
20190901,LG,SK,6,9
20190901,KT,한화,1,6
20190903,키움,두산,5,2
20190903,삼성,롯데,5,4
20190903,NC,SK,1,8
20190903,LG,KT,5,0
20190903,KIA,한화,6,5
20190904,삼성,롯데,8,0
20190904,KIA,한화,1,0
20190905,삼성,키움,4,0
20190905,한화,NC,3,0
20190906,삼성,키움,1,6
20190906,롯데,LG,2,5
20190906,KIA,KT,2,5
20190906,한화,NC,0,4
20190907,키움,KIA,7,3
20190907,NC,삼성,8,2
20190907,롯데,한화,1,5
20190908,키움,KIA,13,3
20190908,SK,KT,0,5
20190908,두산,LG,1,2
20190908,NC,삼성,4,9
20190908,롯데,한화,12,0
20190910,LG,한화,5,2
20190910,KT,삼성,2,3
20190910,KIA,롯데,4,8
20190911,키움,SK,4,2
20190911,NC,두산,4,0
20190911,LG,한화,5,9
20190911,KT,삼성,8,11
20190911,KIA,롯데,4,0
20190912,SK,롯데,2,1
20190912,NC,KT,7,4
20190912,LG,키움,2,3
20190912,KIA,두산,0,5
20190913,SK,롯데,0,1
20190913,NC,KT,5,2
20190913,LG,키움,4,1
20190913,KIA,두산,2,6
20190913,한화,삼성,5,4
20190914,키움,KT,2,3
20190914,삼성,NC,1,7
20190914,두산,SK,6,7
20190914,롯데,한화,2,5
20190914,KIA,LG,2,7
20190915,삼성,NC,1,6
20190915,두산,LG,4,10
20190915,롯데,한화,7,1
20190915,KT,SK,8,6
20190916,키움,두산,6,3
20190916,LG,KT,4,2
20190916,한화,삼성,11,1
20190917,키움,한화,0,1
20190917,NC,KIA,2,3
20190918,NC,SK,6,0
20190918,롯데,KIA,5,6
20190918,LG,삼성,4,3
20190919,두산,SK,6,4
20190919,LG,NC,3,5
20190919,KIA,삼성,2,12
20190919,두산,SK,7,3
20190920,키움,SK,5,1
20190920,삼성,한화,3,5
20190920,KT,롯데,7,0
20190920,KIA,두산,2,6
20190921,삼성,KT,6,3
20190921,KIA,두산,3,5
20190922,LG,두산,6,3
20190923,NC,롯데,6,1
20190923,KIA,KT,1,2
20190923,한화,LG,9,1
20190924,키움,KIA,0,5
20190924,삼성,LG,4,2
20190924,SK,KT,3,7
20190924,두산,NC,7,7
20190925,삼성,SK,0,1
20190925,두산,롯데,7,0
20190925,한화,NC,3,2
20190926,두산,삼성,11,0
20190926,LG,KT,4,3
20190926,KIA,롯데,3,1
20190926,한화,NC,4,2
20190927,SK,삼성,4,0
20190927,NC,LG,3,0
20190928,SK,삼성,7,9
20190928,NC,KT,2,5
20190928,LG,KIA,1,7
20190928,한화,두산,6,7
20190929,키움,롯데,4,1
20190929,삼성,KT,0,7
20190929,SK,한화,2,0
20190929,두산,LG,3,0
20190930,SK,한화,6,2
20190930,롯데,LG,0,2
20191001,키움,롯데,3,1
20191001,NC,두산,5,6
20191003,NC,LG,1,3
20191006,LG,키움,0,1
20191007,LG,키움,4,5
20191009,키움,LG,2,4
20191010,키움,LG,10,5
20191014,키움,SK,3,0
20191015,키움,SK,8,7
20191017,SK,키움,1,10
20191022,키움,두산,6,7
20191023,키움,두산,5,6
20191025,두산,키움,5,0
20191026,두산,키움,11,9
